patch_id,T,B,fC_0,fC,I,F,S,category
0,0.05523977020613251,0,0.5431754215831709,0.5431754215831709,1,1,0,fail
1,0.6450270693873458,2,0.13602859060180708,0.13602859060180708,0,0,0,non_int
2,4.690218692461341,1,0.21053305709233203,0.21053305709233203,0,0,0,non_int
3,0.4185586661538189,0,0.025169389418172615,0.025169389418172615,0,0,0,non_int
4,0.5110474441286947,0,0.677117430604849,0.677117430604849,0,0,0,non_int
5,1.3228042567712646,3,0.36446342520775743,0.36446342520775743,0,0,0,non_int
6,1.4543080937117472,0,0.2650965378080181,0.2650965378080181,0,0,0,non_int
7,0.19933150279027786,0,0.12816400638783368,0.12816400638783368,0,0,0,non_int
8,1.884015876012904,3,0.1523955682259299,0.1523955682259299,0,0,0,non_int
9,1.5613799847789471,1,0.11699278347012615,0.11699278347012615,0,0,0,non_int
10,0.13266694883854152,0,0.2235934271671025,0.2235934271671025,0,0,0,non_int
11,0.8842782094546301,1,0.5385051401916943,0.5385051401916943,1,1,0,fail
12,0.3195387568029738,0,0.627775671062976,0.627775671062976,1,1,0,fail
13,0.5015766200534111,2,0.024398480925212126,0.512199240462606,1,0,1,success
14,0.500949550093461,0,0.021484324861447857,0.021484324861447857,1,1,0,fail
15,0.5486747355013905,0,0.004245136548943553,0.004245136548943553,0,0,0,non_int
16,10.361814727267864,14,0.5120376304374996,0.7560188152187498,1,0,1,success
17,0.24733300705934316,0,0.10148988729946709,0.10148988729946709,1,1,0,fail
18,0.07694393330404768,0,0.09450464175128005,0.09450464175128005,0,0,0,non_int
19,0.04050256889999402,0,0.4779663772554728,0.4779663772554728,0,0,0,non_int
20,0.21968535620215773,0,0.5481407241565123,0.5481407241565123,0,0,0,non_int
21,0.9932715302080618,0,0.3335544890136624,0.3335544890136624,0,0,0,non_int
22,3.7130020533796158,4,0.09238055083507914,0.5461902754175396,1,0,1,success
23,0.37208979385222374,1,0.25481032276012283,0.25481032276012283,0,0,0,non_int
24,0.8097775145572884,1,0.1769144610023722,0.1769144610023722,0,0,0,non_int
25,0.5035459827484985,0,0.39592134034440457,0.39592134034440457,0,0,0,non_int
26,0.10039409518181272,0,0.04536261463818635,0.04536261463818635,1,1,0,fail
27,0.31356204826517164,0,0.6137440357722916,0.6137440357722916,0,0,0,non_int
28,0.10474839310071855,0,0.40135225473355224,0.40135225473355224,1,1,0,fail
29,0.16236565212026804,0,0.2260774327465443,0.2260774327465443,0,0,0,non_int
30,1.6988131226619458,1,0.02978543679862764,0.02978543679862764,0,0,0,non_int
31,2.3718047168788723,6,0.3590657592453934,0.3590657592453934,0,0,0,non_int
32,3.192870410477702,7,0.4850448702948966,0.4850448702948966,0,0,0,non_int
33,0.38439738032413834,0,0.051420332455286065,0.051420332455286065,1,1,0,fail
34,0.5015404070029602,1,0.2931069166591307,0.2931069166591307,1,1,0,fail
35,1.088223723526286,2,0.26492840627554093,0.26492840627554093,0,0,0,non_int
36,2.146747732668781,1,0.31484858084870726,0.31484858084870726,0,0,0,non_int
37,3.5130892492008075,11,0.07412447179594793,0.537062235897974,1,0,1,success
38,0.08884736917638503,0,0.3471251934206246,0.3471251934206246,0,0,0,non_int
39,2.1698992573721028,4,0.06604989717304471,0.5330249485865224,1,0,1,success
40,2.399745613047095,1,0.04836383577175755,0.04836383577175755,0,0,0,non_int
41,1.0875366308192005,1,0.3069434892782911,0.3069434892782911,0,0,0,non_int
